,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1438925260,0.0,4,8,-37.8165198,145.0049966,-37.8158343,145.04645,4196.0,2018-07-25,01:41:44,1353.6,2:04:17,12.2
ID3157840257,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-01-09,00:36:06,11407.859999999999,3:46:13,62.36
ID5143765473,,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-04,15:04:19,12681.060000000005,18:35:40,1268.16
ID3434042218,1.0,7,4,-37.8618349,144.905716,-37.8059765,145.01378,12734.0,2018-05-17,20:01:24,3985.6799999999976,21:07:49,25.73
ID1184281004,,5,6,-37.8025949,144.9298188,-37.7874421,144.9804091,6105.0,2018-05-22,14:04:04,1569.7800000000002,14:30:13,9.73
ID5686600390,,6,3,-37.7874325,144.9803767,-37.8105239,144.9853141,3178.0,2018-04-28,03:01:29,758.1600000000002,3:14:07,109.74
ID3233898697,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-05-06,21:28:40,12681.059999999998,1:00:01,71.04
ID1502570356,0.0,3,1,-37.8163696,144.9852465,-37.8051354,144.9722353,2161.0,2018-07-04,14:23:19,512.22,14:31:51,7.58
ID3448927908,,5,2,-37.8052448,144.9373053,-37.8217488,144.9368226,2650.0,2018-06-03,01:01:47,610.98,1:11:57,19.33
ID3677364581,,9,6,-38.1109156,144.6541725,-37.7907967,144.985865,47193.0,2018-03-05,14:51:41,11535.780000000008,18:03:56,59.07
ID1602305522,,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-17,03:18:38,13204.979999999994,6:58:42,32.77
ID5403333658,2.0,5,7,-37.8007583,144.9344167,-37.8618349,144.905716,13807.0,2018-04-22,05:37:31,4311.120000000001,6:49:22,459.18
ID3381561693,,4,7,-37.8028947,144.9963921,-37.8618349,144.905716,11366.0,2018-04-09,17:44:35,3699.3000000000006,18:46:14,26.1
ID1250278748,0.0,4,7,-37.8079234,144.9921256,-37.8618349,144.905716,10535.0,2018-06-04,01:40:47,3511.8,2:39:18,15.44
ID3613676255,1.0,1,5,-37.8151638,144.9636136,-37.8045393,144.9281603,3819.0,2018-06-24,11:01:13,1019.4000000000001,11:18:12,13.6
ID1291747590,0.0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-03-06,21:32:16,3863.579999999999,22:36:39,15.82
ID3776097091,1.0,5,1,-37.804508,144.9376613,-37.8007369,144.9517619,3488.0,2018-04-02,07:21:03,832.9800000000002,7:34:55,9.84
ID1724133369,,4,9,-37.8136358,145.0000791,-38.1109156,144.6541725,47028.0,2018-06-16,11:34:08,11257.199999999999,14:41:45,24.5
ID5960929442,2.0,3,7,-37.8134021,144.9739325,-37.8618349,144.905716,8613.0,2018-01-06,07:21:08,2922.12,8:09:50,305.81
ID5974190962,2.0,1,8,-37.8134932,144.9656098,-37.8158343,145.04645,7494.0,2018-07-02,20:21:42,2130.9000000000005,20:57:12,228.94
